price(R$),condo(R$),district,address,area(m²),bedroom,bathrooms,parkings,url(image),url(apt)
1490000.0,540.0,Cidade Nova,Rua Paulo Nunes Vieira,200.0,4.0,3.0,4,https://imgbr.imovelwebcdn.com/avisos/2/29/74/89/14/60/360x266/3648190294.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-na-cidade-nova-2974891460.html
870000.0,,Prado,Rua Rubi,198.0,4.0,2.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/70/80/28/05/360x266/3603119513.jpg,https://www.imovelweb.com.br/propriedades/cobertura-04-quartos-suite-elevador-de-carga-03-2970802805.html
895000.0,1000.0,Buritis,Rua Ignácio Alves Martins 151,130.0,3.0,3.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/77/35/30/57/360x266/3714878977.jpg,https://www.imovelweb.com.br/propriedades/apartamento-3-quartos-2977353057.html
885000.0,260.0,União,Rua Andesita 377,198.0,4.0,3.0,4,https://imgbr.imovelwebcdn.com/avisos/2/29/66/74/34/75/360x266/2714841649.jpg,https://www.imovelweb.com.br/propriedades/cobertura-a-venda-4-quartos-1-suite-4-vagas-uniao-2966743475.html
220000.0,450.0,Lourdes,Avenida Bias Fortes 783,14.0,1.0,1.0,0,https://imgbr.imovelwebcdn.com/avisos/2/29/76/08/10/52/360x266/3680985181.jpg,https://www.imovelweb.com.br/propriedades/flat-a-venda-no-lourdes-2976081052.html
1200000.0,750.0,Palmares,,164.0,3.0,3.0,3,https://imgbr.imovelwebcdn.com/avisos/2/29/31/66/38/30/360x266/2317428219.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-em-palmares-2931663830.html
1350000.0,1890.0,Savassi,Rua Santa Rita Durão,170.0,4.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/77/46/04/39/360x266/3718298146.jpg,https://www.imovelweb.com.br/propriedades/edificio-acropole-2977460439.html
848000.0,380.0,Dona Clara,Bolivar Mineiro,140.0,3.0,3.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/73/54/30/91/360x266/3674550876.jpg,https://www.imovelweb.com.br/propriedades/apartamento-com-3-quartos-a-venda-140-m-sup2-2973543091.html
650000.0,450.0,São Pedro,Rua Lavras,105.0,3.0,2.0,2,https://imgbr.imovelwebcdn.com/avisos/2/29/77/43/27/59/360x266/3717391939.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-3-quartos-1-suite-2-vagas-sao-2977432759.html
600000.0,790.0,Centro,Rua dos Goitacazes,81.0,3.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/57/03/34/18/360x266/2281255009.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-centro-belo-horizonte-2957033418.html
270000.0,200.0,Santa Branca,Rua Graça Aranha,80.0,2.0,1.0,1,https://imgbr.imovelwebcdn.com/avisos/2/29/74/09/95/72/360x266/3624939043.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-2-quartos-1-vaga-santa-branca-2974099572.html
